Conservation Plan Id	Conservation Plan Title	Conservation Plan Type
55	San Bruno Mountain Amendment #3 (Rio Verde)	HCP
56	San Bruno Mountain Amendment #1 (South Slope)	HCP
57	San Bruno Mountain	HCP
58	San Bruno Mountain Amendment #2 (County Park)	HCP
59	Sage Development	HCP
61	SC DNR Statewide RCW	SHA
62	"Farr, Robert"	HCP
63	"Baker, Robert A. (Rob Roy on Lake)"	HCP
64	"Riverside County, Stephens' Kangaroo Rat (Long-Term)"	HCP
65	"Richland SA, Ltd (Lot #01, Canyon Mesa) 804126"	HCP
66	"Spicewood at Bull Creek (formerly Richland Bull Creek Assoc.)"	HCP
67	"Smith, Richard J."	HCP
68	"Blum, Richard (Lake Georgetown)"	HCP
69	"Baggett, Richard (Long Canyon)"	HCP
70	"Rivers, Rex (Critter Canyon) B. -E"	HCP
71	Regli Estates	HCP
72	Red Oak Timber Co.	HCP
73	"Koster, Ralph  (Cardinal Hills)-E"	HCP
74	Raley's Landing	HCP
75	RNR Properties (Cypress Creek-Phase I)	HCP
76	Quail Hollow Quarry Amendment #1(long-term permit)	HCP
77	Quail Hollow Quarry (short-term permit)	HCP
78	Potlatch	HCP
79	Port Blakely RB Eddy Tree Farm	HCP
81	"Plum Creek Timber I-90 HCP, Amendment (Bull Trout Addition)"	HCP
82	Plum Creek Timber Central Cascades HCP (aka I-90 HCP)	HCP
83	Plantation Palms	HCP
84	Pine Belt Regional Landfill Authority	HCP
85	Phoenix VIII/Brett Real Estate	HCP
86	"Van Cuylenburg, Peter-E"	HCP
87	"Murski, Paul/Angela"	HCP
88	"Locus, Paul A.-E"	HCP
89	Parkside Homes	HCP
90	Park 22	HCP
91	Beach Club (Head Properties)(Ft. Morgan Paradise Joint Venture))	HCP
92	"Humboldt Redwood Company (formerly Pacific Lumber, Headwaters)"	HCP
93	Pacific Gateway Homes	HCP
95	PG&E  Blackhawk Power Plant	HCP
96	"TPG Four Points Land, L.P. [formerly PW-B Joint Venture; amended 2/27/01]"	HCP
97	Overlook at Cat Mountain	HCP
99	Orange County Central/Coastal NCCP/HCP	HCP
100	On Top of the World	HCP
102	Ocean Trails (Palos Verdes Land Holdings Co./Zuckerman Building Co.)	HCP
103	"Ocean Ridge, Limited"	HCP
105	Nye County Landfill	HCP
106	Nuevo-Torch	HCP
109	"North of Playa Shopping Center, D.B.O. Development Corp."	HCP
110	"Gross, Nick (Snow Construction, Inc.)"	HCP
111	Nichols/Hendrix/Post	HCP
112	Newhall Farm Seasonal Crossings	HCP
113	"Natomas Basin Revised HCP and Litigation Resolution - City of Sacramento, Sutter County, and Natomas Basin Conservancy"	HCP
115	"West Fork Timber HCP, Amendment (Addition of Bull Trout and Lynx)"	HCP
116	West Fork Timber HCP (formerly Murray Pacific)	HCP
117	"MSCP, City of San Diego Subarea Plan"	HCP
119	Mouhot (single family lot)	HCP
120	"Mortgage Management, L.P."	HCP
121	Misstex Red-cockaded Woodpecker HCP	HCP
122	Michalski (landowner)	HCP
123	Metropolitan Bakersfield	HCP
124	"Meadowlark Estates, SunCal Company"	HCP
125	Maxwell Irrigation District	HCP
126	"Hogan, Mark and Brenda"	HCP
127	MacMillan-Bloedel Timberlands (RHS)	HCP
129	"MSCP, County of San Diego Subarea Plan"	HCP
130	M. Kodsi of Lantana Development (Milford/Martesia Project)	HCP
131	Lumbermans Buttercup Creek Subdivision (Lumbermans Investments Corp)	HCP
132	Comanche Canyon (Theriot)	HCP
133	"Hausman, Louie"	HCP
134	Los Osos Center	HCP
135	Lennane Properties	HCP
136	Lazy K Bar Ranch L.L.C.	HCP
137	"James, Larry W. (Long Canyon)-E"	HCP
138	"Beasley, Larry (Lot owner) (Lake Travis Subdivision)"	HCP
139	"Langboard, Inc."	HCP
140	"Brubaker, Lance (Cardinal Hills)"	HCP
141	Lakeway Vista Royale Ltd.	HCP
142	Lakeway Rough Hollow Ltd.	HCP
143	"Lakeway Highlands, Ltd."	HCP
144	Lakeline Mall	HCP
145	"Lake Pointe (Southwest Travis Co., Ltd.)"	HCP
146	Lake Pointe IV - Walter J. Humann (Bon Terre-B Ltd.)	HCP
147	Lake Pointe/Don Walden - Amendment #2	HCP
148	Lake Mathews	HCP
149	Kern Water Bank	HCP
150	Kern County Waste Facilities	HCP
152	Hanson Aggregates Felton Plant	HCP
153	"Mill, Joseph (Lodge Acres)"	HCP
154	"Hill, Joseph (Coquina Palms)"	HCP
155	"Noriega, Jose, Sam Zittering, Phillip Finch"	HCP
156	"John Laing Properties, Village Green."	HCP
157	"John Laing Homes, Cantara Completion"	HCP
158	"Herbert, Jim (Westlake Highlands)"	HCP
159	"Goulding, Jim (Belle Mountain)"	HCP
160	"Goynes, Janis (Cardinal Hills)"	HCP
161	"Hurst, Jane Marie (Bullick Bluff)"	HCP
162	"Mirzadegan, Jalil/Judith"	HCP
163	Jack Primus Tract	HCP
164	Treetops/Jefferson Treetops L.P. (formerly JPI Texas Development) (see Ward)	HCP
165	Iron County	HCP
166	International Paper (RHS)	HCP
167	"Burris, Howard L. Jr. (Lot #15, Jester Estates)"	HCP
168	"Holnam, Inc./HCR Limestone"	HCP
170	Heron's Cove	HCP
171	Heritage Arts Foundation	HCP
172	"Presley, H."	HCP
173	Grover Tree Farm	HCP
174	"Luce, Gregory"	HCP
175	"Yaupon Great Hills Reserve, Yaupon Great Hills, LP"	HCP
176	"Granite Construction, Phase 1"	HCP
177	General Real Estate (Bal Harbor)	HCP
178	Gasque/Felkel	HCP
180	Ft. Macaulay Development Co. (Windsor Estates)	HCP
181	"Friendfield Plantation, Inc."	HCP
182	Hell Canyon	HCP
184	Fieldstone/La Costa & City of Carlsbad	HCP
185	Fel-Kran Plumbing	HCP
186	NC Sandhills RCW	SHA
187	"EnviroCycle, Inc."	HCP
189	El Coronado Ranch	HCP
191	"McIntyre, Earlynn G."	HCP
192	"Driscoll Properties, Inc., Driscoll Foundation, Inc., and Ocean Reef"	HCP
193	Driscoll Properties	HCP
194	Barclay Ranches	HCP
195	"DiJoy, David (Rob Roy on Lake)"	HCP
197	Davenport Ranch	HCP
198	"Shelley, Daniel O."	HCP
199	"D&E Investments, Ltd. (Kiva Dunes)"	HCP
200	Cushenbury Sand & Gravel (Channel and Basin Reclamation)	HCP
201	Coyote Hills East (UnoCal)	HCP
202	"Riverside County, SKR (Short-Term) Amendment (Boundary Change) (#2-22 Amendments)"	HCP
203	"Riverside County, SKR (Short-Term) Amendment (Boundary Change #2 Moreno Highlands Addition)"	HCP
204	"Riverside County, SKR (Short-Term) Amendment (Boundary Change #1 Reconsideration-Orangecrest)"	HCP
205	"Riverside County, SKR (Short-Term) Amendment (Boundary Change #1)"	HCP
206	"Riverside County, SKR (Short-Term) Amendment #1 (Temecula Addition)"	HCP
207	"Riverside County, SKR (Short-Term) Ammendment (2nd Time Ext. w/Amendment)"	HCP
208	"Riverside County, SKR (Short-Term) Amendment (1st Time Ext. w/Amendment)"	HCP
209	"Riverside County, Stephens Kangaroo Rat (SKR) (Short-Term)"	HCP
210	Corrections Corporation of America	HCP
211	Corona Development Co.	HCP
213	Connel Gower	HCP
214	Colton Transmission Line	HCP
215	Collins-Miller (Bay to Breakers)	HCP
216	Coleman Company	HCP
217	Coast Range Conifers	HCP
218	Coalinga Cogeneration	HCP
219	Coachella Valley Fringe-toed Lizard	HCP
222	"Clark County - Desert Tortoise, Short-Term (6 permittees)"	HCP
223	City of the Dalles Municipal Watershed	HCP
224	City of Waterford	HCP
225	Cedar River Watershed HCP	HCP
226	"MSCP, City of Poway Subarea Plan"	HCP
227	City of Marysville	HCP
228	"MSCP, City of La Mesa Subarea Plan"	HCP
229	City of Austin/Barton Springs Pool	HCP
230	Citation Builders Ridge at Cresta Verde	HCP
231	Church of Jesus Christ of LDS	HCP
232	"Clinton, Chuck (Yucca Mtn)"	HCP
233	"Milam, Chris (Lot #1, River Hill)-E"	HCP
234	Chevron Pipeline	HCP
235	"Charles Ingram Lumber Co., Amos McLeod"	HCP
236	"Dixon, Charles (Long Canyon)"	HCP
237	Champagne Shores	HCP
238	Cedar Park Waterline	HCP
239	"Ethridge, Cecil E."	HCP
240	Cavalear Co. (Cloisters)	HCP
241	"Pratt, Carolyn (Windmill Bluff)"	HCP
242	Canyon Ridge Amendment 1	HCP
243	Canyon Ridge	HCP
244	Cal. Dept. of Corrections Delano Prison	HCP
245	Brett Real Estate/Phoenix VI & VII	HCP
246	Brandon Capitol Corp. (Villages of Tramore)	HCP
247	Bonny Doon Quarries	HCP
249	"Thomas, Bobby (L. Georgetown)-E"	HCP
251	"Pressler, Bette (Lot #5, West Lake Hills)"	HCP
252	"Bennett Property, Lamco Housing, Inc."	HCP
253	"Cone, Ben (Cone's Folly)"	HCP
254	Bee Cave Oaks (Bee Cave Oaks Dev. Inc.)	HCP
257	"Basin A, Willow Pass Grade"	HCP
258	Barton Creek Community	HCP
259	Balmoral (O.C. Mendes)	HCP
261	Balcones Canyonlands (BCCP)	HCP
262	Martinique (Aronov Realty and Management)	HCP
264	Andrus Subdivision	HCP
265	"Graci, Albert (Lot #17, 620 Oaks)"	HCP
266	ARCO Coles Levvee (ARCO Western Energy)	HCP
267	SHA - TPWD & TFS Texas State-wide Red-Cockaded Woodpecker	SHA
268	SHA - Gulf Coast Prairies (aka Sam Houston Resource Conservation)	SHA
269	SHA - The Peregrine Fund Aplomado Falcon 'Safe Harbor'	SHA
270	San Bruno Mountain Amendment #5 (North East Ridge revision)	HCP
271	Town of Rome	HCP
273	Wisconsin Statewide Karner Blue Butterfly Habitat Conservation Plan	HCP
281	Lamar County School Board	HCP
291	Ocean Trails Amendment and Permit Transfer	HCP
294	"University of California, Davis -- La Rue Housing/Bowley Center"	HCP
319	Simpson Timber NW Operations (Green Diamond Resource Company)	HCP
337	On Top of the World (II)	HCP
347	St. Johns County Government	HCP
348	State of Georgia	HCP
355	Indian River/Sebastian Areawide	HCP
375	Piping Plover HCP (State of Massachusetts)	HCP
376	Home Port on Winchester Creek Development Project	HCP
377	Plum Creek Timber I-90 Land Exchange	HCP
378	Coconut Point Incorporated	HCP
379	"Yaupon Great Hills Reserve L.P., Amendment 1"	HCP
380	"Stein, Fred P."	HCP
383	North Peak Development Project	HCP
387	"Graci, Albert (Lot #18, 620 Oaks)"	HCP
388	"Graci, Albert (Lot #19, 620 Oaks)"	HCP
390	"Pressler, Bette (Lot #6, West Lake Hills)"	HCP
391	"Pressler, Bette (Lot #4, West Lake Hills)"	HCP
393	"Pressler, Bette (Lot #3, West Lake Hills)"	HCP
394	"Pressler, Bette (Lot #1, West Lake Hills)"	HCP
395	"Pressler, Bette (Lot #2, West Lake Hills)"	HCP
401	"Milam, Chris (Lot #2, River Hill)"	HCP
402	"Milam, Chris (Lot #3, River Hill)"	HCP
403	"Milam, Chris (Lot #4, River Hill)"	HCP
404	"Burris, Howard L. Jr. (Lot #17, Jester Estates)"	HCP
405	"Burris, Howard L. Jr. (Lot #18, Jester Estates)"	HCP
406	"Burris, Howard L. Jr. (Lot #19, Jester Estates)"	HCP
407	"Burris, Howard L. Jr. (Lot #20, Jester Estates)"	HCP
408	"Burris, Howard L. Jr. (Lot #21, Jester Estates)"	HCP
409	"Burris, Howard L. Jr. (Lot #22, Jester Estates)"	HCP
410	"Burris, Howard L. Jr. (Lot #23, Jester Estates)"	HCP
411	"Burris, Howard L. Jr. (Lot #24, Jester Estates)"	HCP
412	"Burris, Howard L. Jr. (Lot #25, Jester Estates)"	HCP
413	"Burris, Howard L. Jr. (Lot #27, Jester Estates)"	HCP
415	"Burris, Howard L. Jr. (Lot #28, Jester Estates)"	HCP
416	"Burris, Howard L. Jr. (Lot #33, Jester Estates)"	HCP
418	"Burris, Howard L. Jr. (Lot #34, Jester Estates)"	HCP
419	"Burris, Howard L. Jr. (Lot #35, Jester Estates)"	HCP
421	"Burris, Howard L. Jr. (Lot #36, Jester Estates)"	HCP
422	"Richland SA, Ltd (Lot #02, Canyon Mesa) 804127"	HCP
423	"Richland SA, Ltd (Lot #03, Canyon Mesa) 804128"	HCP
424	"Richland SA, Ltd (Lot #04, Canyon Mesa) 804129"	HCP
425	"Richland SA, Ltd (Lot #05, Canyon Mesa) 804130"	HCP
426	"Richland SA, Ltd (Lot #06, Canyon Mesa) 804131"	HCP
428	"Richland SA, Ltd (Lot #08, Canyon Mesa) 804133"	HCP
429	"Richland SA, Ltd (Lot #07, Canyon Mesa) 804132"	HCP
430	"Richland SA, Ltd (Lot #09, Canyon Mesa) 804135"	HCP
431	"Richland SA, Ltd (Lot #10, Canyon Mesa) 804136"	HCP
432	"Richland SA, Ltd (Lot #12, Canyon Mesa) 804237"	HCP
434	"Richland SA, Ltd (Lot #13, Canyon Mesa) 804138"	HCP
435	"Richland SA, Ltd (Lot #14, Canyon Mesa) 804139"	HCP
437	Waterside Down (Cochran) Amendment #1 (phase II)	HCP
438	Sage Development Amendment #1	HCP
439	"Clark County - Desert Tortoise, Short-Term,  Amendment/Extension (5 permittees)"	HCP
452	Walz and Company of Sebring (Palm Haven Development)	HCP
464	"Hunt, John & Jim"	HCP
470	Maytag Trail	HCP
471	Volente Group Amendment 2	HCP
474	"Caster, John & Christine - Renewed"	HCP
475	"Mayberry, Brent"	HCP
480	Lower Colorado River Multi-Species Conservation Plan (LCR MSCP)	HCP
481	"Pima County Multi-Species Conservation Plan, under Sonoran Desert Conservation Plan"	HCP
482	"Horizon (GDF Realty, Riordan Properities)"	HCP
501	Angelus Block	HCP
502	"City of Tacoma, Tacoma Water HCP"	HCP
507	Cal. Dept. of Corrections Statewide Electrified Fence Project	HCP
508	Tulare Irrigation District Main Intake Canal Lining Project	HCP
514	Santa Nella Phase I (Arnaudo Brothers/Wathen-Castanos and River East Holding Sites)	HCP
516	Evergreen Nursery	HCP
527	Southeastern Lincoln County HCP	HCP
528	Clark County Multiple Species HCP (7 permittees)	HCP
530	Duke Energy (Cinergy)	HCP
531	Warmington Homes Assumption of The Bluffs HCP	HCP
534	Van Daele	HCP
535	Teichert Esparto Mining Project	HCP
536	"Franzetti, Anthony"	HCP
537	Rancho Bella Vista (Pacific Bay Properties)	HCP
538	Stein Amendment 1	HCP
539	Volente Group Amendment 3	HCP
543	Cal. Dept. of Fish & Game Striped Bass Conservation Plan	HCP
546	East Contra Costa County HCP/NCCP	HCP
549	Ox Yoke Road	HCP
550	Western Placer County Conservation Plan/Natural Community Conservation Plan	HCP
554	South Sacramento Habitat Conservation Plan (SSHCP)	HCP
557	Tracy Hills	HCP
558	Yolo Natural Heritage Program	HCP
565	High Desert Power Project	HCP
566	Wildcat Line LP HCP	HCP
576	Tucker	HCP
577	MFS Globenet/WorldCom	HCP
578	"Weyerhaeuser Venture;Tributary Point, Parcel 9"	HCP
580	Storedahl's Daybreak Mine Expansion and Habitat Enhancement Project HCP	HCP
582	SCUTA	HCP
586	"Nold, Linda B."	HCP
587	Metcalf-Evendale/Monta-Vista (PG&E)	HCP
588	Hier and Gannon	HCP
589	Douglas County	HCP
594	"Anderson, David Charles"	HCP
595	"Smith, Tamera"	HCP
596	"Gregory, Shelby"	HCP
599	"Adams, James L."	HCP
600	St. Joe Company	HCP
602	"Walters, Dorathy"	HCP
603	"Ehrler, Cory"	HCP
604	"Sanchez, Miguel"	HCP
606	SPS Builders (SPSSCT Inc.; Amy Hughes)	HCP
607	Cornerstone Construction #1 (Ronnie White)	HCP
609	Plum Creek Native Fish HCP	HCP
610	"MHCP, City of Carlsbad Habitat Management Plan"	HCP
611	"Cornerstone Homes, Railroad Canyon/Lake Elsinore Tract 20704"	HCP
612	Orange County Southern Subregion NCCP/HCP	HCP
615	Coachella Valley Multi-Species HCP	HCP
616	"MSCP,County of San Diego Subarea Plan, Cielo Amendment"	HCP
621	Cook Custom Homes/CHR Real Estate Venture	HCP
622	Spicewood at Bull Creek Amendment # 4	HCP
623	"UPRR, Sacramento Rail Yard"	HCP
625	"Prairie City Crossing Project Site, Regency Realty"	HCP
640	"Natomas Basin, Metro Air Park"	HCP
655	"Schuelke, John E."	HCP
656	"Johnson, Jeff (ITP initially issued to Lopez, Lorie F.)"	HCP
657	"Tilley, Ray Don"	HCP
659	"Hanks, Paula and Sims, Jason, R."	HCP
660	"SHA - Environmental Defense, Inc. Texas Hill Country SHA"	SHA
662	Stanford University HCP	HCP
671	Woodville Solid Waste Disposal Site Expansion	HCP
672	Burrows - Big Bluff	SHA
674	Assessment District 161	HCP
678	Home Depot	HCP
679	Mangrove Bay/Senior Lifestyle Jupiter	HCP
680	Puu O Hoku Ranch - Nene Reintroduction	SHA
692	Stones River bladderpod (Lesquerella stonensis)	CCA
693	Arizona bugbane (Cimicifuga arizonica)	CCA
694	Crinite mariposa lily (Calochortus coxii)	CCA
695	Colorado River cutthroat trout (Rangewide)	CCA
697	Volcano Creek golden trout	CCA
698	Pecos pupfish Multi-state CCA	CCA
699	"Cowhead Lake Tui Chub, Surprise Valley, CA"	CCA
700	Oregon spotted frog- Willamette NF	CCA
707	"Gunnison sage grouse conservation plan, Pinon Mesa, CO"	CCA
710	Neches River rose-mallow -- Champion International	CCA
711	Goodding's onion	CCA
712	Tall paintbrush and Guadalupe fescue	CCA
713	CAS for Columbia Spotted Frog in the State of Utah	CCA
714	"Gunnison sage grouse, Gunnison Basin population"	CCA
715	Umpqua mariposa lily II	CCA
716	Spring Mountains National Recreation Area	CCA
717	Shell Oil Company/Metropolitan Water District of Southern California	HCP
719	Gunnison sage grouse - Crawford Area (CO)	CCA
720	Gunnison sage grouse - San Miguel Basin (CO)	CCA
721	Devils River minnow	CCA
722	City of Highland Roadways Project	HCP
723	San Xavier talussnail	CCA
724	Boreal Toad	CCA
725	Gunnison sage grouse - Dove Creek (CO)	CCA
726	McCloud River redband trout	CCA
727	Copperbelly watersnake	CCA
728	Copperbelly watersnake II	CCA
730	Robust redhorse	CCA
732	Colorado River cutthroat trout (Utah)	CCA
736	Flat-tailed horned lizard	CCA
737	Topeka shiner	CCA
738	Peaks of Otter salamander	CCA
739	Wonderland Alice-flower (Rabbit Valley gilia)	CCA
740	Least chub	CCA
741	"Atlantic salmon, 7 Maine rivers"	CCA
742	Paradine plains cactus (Kaibab plains cactus)	CCA
743	Umpqua mariposa lily	CCA
744	Alabama jamesianthus	CCA
745	Parish's checkerbloom; Fort Tejon woolly sunflower; Pale-yellow layia; Blakely's spineflower	CCA
746	Fluvial Arctic grayling	CCA
747	Fluvial Arctic grayling II	CCA
748	Aquarius Indian paintbrush	CCA
749	Barneby's milkvetch	CCA
751	Golden Buckwheat on Malheur Resource Area	CCA
753	3 Peninsular Ranges plants	CCA
757	Bonneville cutthroat trout (Utah)	CCA
759	"3 Hulls Gulch Reserve Plants (ID): Aase's onion, Mulford's milk-vetch, Slick-spot peppergrass"	CCA
760	Arizona willow	CCA
761	Virgin spinedace	CCA
762	Cossatot leafcup	CCA
763	Robust redhorse II	CCA
764	Washington polemonium	CCA
766	Christ's Indian paintbrush	CCA
769	Cow Knob (white-spotted) salamander	CCA
770	Western sage grouse CCA (WA)	CCA
771	Rich Mountain slitmouth snail	CCA
774	White Sands pupfish	CCA
775	Caddo Mountain salamander	CCA
777	Warm Spring Zaitzevian riffle beetle	CCA
785	Amargosa toad	CCA
793	Jemez Mountain salamander	CCA
797	Wet Canyon talussnail	CCA
804	Camp Shelby crayfish	CCA
808	Bonneville cutthroat trout (Rangewide)	CCA
817	"Robust redhorse - Ocmulgee River, GA"	CCAA
818	Mission View Estates	HCP
819	Hancock Natural Resources Group (RHS)	HCP
820	Perry County Board of Supervisors	HCP
821	"Decker, Douglas B., Jr. and Julie"	HCP
822	"Russo, Joseph and Sylvia, II"	HCP
823	"Schena, Sherry"	HCP
824	"Bush, Anthony V."	HCP
825	Arizona Department of Transportation	SHA
826	Culebra Northshore	HCP
827	Litchfield Company	HCP
828	81+3 Florida (Bella Vista)	HCP
830	"Westwood Tributary Point Ltd., Office Project"	HCP
831	A Plan to Provide Safe Harbor Assurances to Landowners in VA who Voluntarily Agree to Enhance Habitat for the Endangered Red-Cockaded Woodpecker	SHA
833	"The Crossings Property (Beck, Kenneth)"	HCP
834	"Berger, David and Carol"	HCP
836	"Cantrell, William and Johnna"	HCP
838	"Cooper, Lyle and Leah"	HCP
839	"Hodges, Scott and Elizabeth"	HCP
840	"Manferd, Elliot and Rebecca"	HCP
841	"Pettit, Brandon and Letty"	HCP
842	Cornerstone Construction #2 (Ronnie White)	HCP
843	Reichel et al.	HCP
844	"Pecos pupfish (Reid, Bart)"	CCA
848	Leonard Property	HCP
849	Douglas County Multiple Species General Conservation Plan (Foster Creek Conservation District)	HCP
851	Granite Homes/Lake Elsinore Tract 20705	HCP
852	Bog Asphodel (Narthecium americanum)	CCA
854	ODFW Columbian-Sharp Tailed Grouse	CCAA
856	Baldwin Ranch [previously 6 D Ranch & Balfour ]	HCP
857	"Mixon, G. Neil"	HCP
858	"Rush, Jim (Green Builder, Inc.)"	HCP
859	Lake of the Woods Ltd. (Thomas L. Luth)	HCP
860	"Broussard, Gordon and Mary"	HCP
861	"Miles, William and Phyllis"	HCP
862	GA DNR Statewide RCW	SHA
863	"46-Subdivisions in Bastrop County, Texas (4 low quality subdivisions)"	HCP
864	"46-Subdivisions in Bastrop County, Texas (42 medium quality subdivisions)"	HCP
865	Cheeca Lodge Schaus Swallowtail	SHA
876	Palmas del Mar Resort	HCP
877	"Grimes, Jack"	HCP
878	"0001-Ludwig, Patsy E. and Wheeler, Danny L."	HCP
879	"0009-MacLeod, Michael C. and Lynda A."	HCP
880	Baldwin Ranch Amendment #1	HCP
881	"Gilfillian, Robert"	HCP
882	"Stahl, Judson"	HCP
883	"Walraven, Marion Kelly"	HCP
888	AL DCNR Statewide RCW	SHA
891	"Paramount Farming SHA, Artificial Escape Den Project"	SHA
893	Indian River County Sea Turtle	HCP
894	Big Pine Key Deer	HCP
898	Plum Creek Timber Company	HCP
901	City of Deltona	HCP
902	0003-Bastrop Adventist Church	HCP
903	"0004-Becerra, Cecilia"	HCP
904	"0005-Seifert, Wayland"	HCP
905	"0010-Kummermehr, Craig"	HCP
907	"0014-McClure, Thomas D. and Marcia (1)"	HCP
908	"0015-McClure, Thomas D. and Marcia (2)"	HCP
909	Tagshinny Tree Farm	SHA
912	"Davenport Ranch, Amendment #1"	HCP
919	Molokai Programmatic SHA for Nene	SHA
920	Kamehameha Schools - Keauhou Ranch/Olaa-Kilauea Partnership	SHA
921	Chevron SHA	SHA
924	Umikoa Ranch	SHA
925	Green Diamond Resource Co. Aquatic (formerly Simpson Resource Co.)	CCAA
934	Utah Sage Grouse Conservation Plan	CCA
935	"Gunnison Sage Grouse Conservation Plan, San Juan County, UT"	CCA
946	Broughton Land Company	HCP
950	Mendocino Redwood Company	HCP
968	Mayer Property	HCP
972	Dos Pueblos Golf Links	HCP
973	Cyanotech	HCP
975	Kaheawa Pastures Windfarm (KWPI) - Maui	HCP
977	Coyote Springs Investment Multi-Species Habitat Conservation Plan	HCP
978	Lathrop Wells HCP - Low Effect	HCP
981	"MSCP, City of Chula Vista Subarea Plan"	HCP
982	Newport Estates	HCP
983	Western Riverside MSHCP (One permit w/ 22 permittees)	HCP
988	Board of Water and Sewer Commissioners	HCP
992	"0025-Pierson, Jason"	HCP
993	"0024-Smith, Larry E."	HCP
994	"0023-Lindenau, Ruel and Julie"	HCP
995	"SHA - Spur Ranch SHA Paterson, Thomas W. and Caroline H."	SHA
996	"0012-Ligon, Stephen M. and Denise"	HCP
997	"0006-Jarrels, Donald R."	HCP
998	"0011-Bath, Sam P. (Circle B Homes)"	HCP
999	"St. Joe Company, Amendment 1"	HCP
1000	"0021-MacQueen, John G."	HCP
1001	Harding Property	HCP
1003	"0008-Kelley, Lila"	HCP
1004	"0029-Niehus, Scott and Ellen"	HCP
1005	"0027-Johnson, Jeff (#2)"	HCP
1006	"0026-Groves, Horace and Catherine"	HCP
1007	SHA - Malpai Borderlands Group SHA	SHA
1011	"Lake, Ralph Jr., # 1"	HCP
1012	"Vasquez, Arturo and Yolanda"	HCP
1013	"Wirries, James and Bernice"	HCP
1014	The Plantation at Leesburg	HCP
1016	"0032-Gillespie, John W."	HCP
1017	"0030-Holter, Bruce T. and Tina R."	HCP
1018	"0028-Vavricek, Joseph and Kerrie"	HCP
1019	"0001-Aiello, James"	HCP
1020	"Boise Cascade Low-effect HCP for the Northern Spotted Owl (transferred to Boise Central Washington Land & Timber , LLC.  Permit was subsequently transferred to Western Pacific Timberlands, LLC.)"	HCP
1021	"Russell Pond, Oregon Chub SHA"	SHA
1025	Palm Coast Blue Water and Matanza Shores	HCP
1026	El Sobrante Landfill	HCP
1027	"0002-Stobaugh, Mike"	HCP
1028	"0003-Steines, Gerard J."	HCP
1029	0016-Live Oak Homes #1 (Joey W. Chioco)	HCP
1030	"0031-Sinclair, Alice I."	HCP
1031	"0033-Miller, Eugene M."	HCP
1032	"0034-Nira, Oswaldo V and Lupe Inez"	HCP
1033	"0035-Gardner, Arlene"	HCP
1034	"0036-Walters, Troy Claude"	HCP
1035	"0037-Parker, Kenneth G."	HCP
1036	"0040-McClure, Thomas & Marcia (3)"	HCP
1037	0042-Cornerstone Construction #3	HCP
1040	"0038-Havens, Doug & Christine"	HCP
1041	"Beeman, Katherine A. and Jerry"	HCP
1042	"CT 620 Partnership, Ltd. (Richard P. Henderson)"	HCP
1043	"Skye, Catherine and Eckart, Kenneth"	HCP
1044	"Harding, Michael & Judy"	HCP
1056	0046-Advantage Builders (Thomas Caufman)	HCP
1059	"0044-Colter, David M. & Amy M."	HCP
1061	"0039-Macafee, William"	HCP
1062	"0009-Mendoza, Jimmy & Christina"	HCP
