Scientific Name,State Name
Acronicta albarufa,Missouri
Acronicta albarufa,New Jersey
Acronicta albarufa,Connecticut
Acronicta albarufa,Pennsylvania
Acronicta albarufa,Delaware
Acronicta albarufa,Colorado
Acronicta albarufa,North Carolina
Acronicta albarufa,New Mexico
Acronicta albarufa,Arkansas
Acronicta albarufa,New York
Acronicta albarufa,Georgia
Acronicta albarufa,Massachusetts
Actinemys marmorata marmorata,Washington
Actinemys marmorata pallida,California
Adella oplerella,California
Adenophorus periens,Hawaii
Adhemarius blanchardorum,Texas
Adiantum vivesii,Puerto Rico
Aegialia concinna,California
Aegialia crescenta,Nevada
Aegialia hardyi,Nevada
Aegialia magnifica,Nevada
Aegolius acadicus,North Carolina
Aerodramus vanikorensis bartschi,Northern Mariana Islands
Aerodramus vanikorensis bartschi,Guam
Aerva sericea,Hawaii
Aeschynomene virginica,Maryland
Aeschynomene virginica,North Carolina
Aeschynomene virginica,Virginia
Aeschynomene virginica,New Jersey
Aeschynomene virginica,Delaware
Aflexia rubranura,Illinois
Aflexia rubranura,Wisconsin
Agabus rumppi,California
Agabus rumppi,Nevada
Agalinis acuta,Maryland
Agalinis acuta,Connecticut
Agalinis acuta,New York
Agalinis acuta,Massachusetts
Agalinis acuta,Rhode Island
Agalinis auriculata,Ohio
Agalinis auriculata,Illinois
Agalinis auriculata,Mississippi
Agalinis auriculata,West Virginia
Agalinis auriculata,Oklahoma
Agalinis auriculata,Maryland
Agalinis auriculata,Pennsylvania
Agalinis auriculata,Minnesota
Agalinis auriculata,South Carolina
Agalinis auriculata,Wisconsin
Agalinis auriculata,Missouri
Agalinis auriculata,Texas
Agalinis auriculata,Virginia
Agalinis auriculata,Kansas
Agalinis auriculata,Tennessee
Agalinis auriculata,Arkansas
Agalinis auriculata,Michigan
Agalinis auriculata,Indiana
Agalinis calycina,New Mexico
Agalinis calycina,Texas
agapema galbina,Texas
Agapetus artesus,Missouri
Agapetus denningi,Oregon
Agapetus jocassee,North Carolina
Agapetus jocassee,South Carolina
Agapetus medicus,Arkansas
Agarodes alabamensis,Alabama
Agarodes logani,Florida
Agarodes stannardi,Mississippi
Agarodes stannardi,Tennessee
Agastache cusickii,California
Agastache cusickii,Nevada
Agastache cusickii,Oregon
Agastache cusickii,Idaho
Agastache parvifolia,California
Agave arizonica,Arizona
Agave eggersiana,Virgin Islands
Agave glomeruliflora,Texas
Agave mckelveyana,Arizona
Agave murpheyi,Arizona
Agave parviflora parviflora,Arizona
Agave schottii treleasei,Arizona
Agave shawii,California
Agave sp.,Arizona
Agave toumeyana bella,Arizona
Agave utahensis eborispina,Nevada
Agave utahensis eborispina,California
Agave utahensis kaibabensis,Arizona
Agave utahensis nevadensis,Nevada
Agave utahensis nevadensis,California
Agelaius tricolor,Nevada
Agelaius tricolor,California
Agelaius tricolor,Oregon
Agelaius xanthomus,Puerto Rico
Ageratina luciae-brauniae,Kentucky
Ageratina luciae-brauniae,Tennessee
Ageratina shastensis,California
Agonum belleri,Oregon
Agonum belleri,Washington
Agosia chrysogaster,New Mexico
Agosia chrysogaster,Arizona
Agrostis blasdalei blasdalei,California
Agrostis blasdalei marinensis,California
Agrostis clivicola clivicola,California
Agrostis clivicola punta-reyesensis,California
Agrostis hendersonii,California
Agrostis hendersonii,Nevada
Agrostis hendersonii,Oregon
Agrostis howellii,California
Agrostis howellii,Nevada
Agrostis howellii,Oregon
Agrostis microphylla,California
Agrostis rossiae,Wyoming
Agrotis buchholzi,Delaware
Agrotis buchholzi,North Carolina
Agrotis buchholzi,New Jersey
Agrotis cremata,Hawaii
Agrotis crinigera,Hawaii
Agrotis fasciata,Hawaii
Agrotis kerri,Hawaii
Agrotis laysanensis,Hawaii
Agrotis melanoneura,Hawaii
Agrotis microreas,Hawaii
Agrotis potophila,Hawaii
Agrotis procellaris,Hawaii
Aimophila aestivalis,Virginia
Aimophila botterii texana,Texas
Aimophila ruficeps canescens,California
Aimophila ruficeps rupicola,Arizona
Alabameubria starki,Alabama
Alasmidonta arcula,Georgia
Alasmidonta atropurpurea,Tennessee
Alasmidonta atropurpurea,Kentucky
Alasmidonta heterodon,Maryland
Alasmidonta heterodon,Pennsylvania
Alasmidonta heterodon,New York
Alasmidonta heterodon,Massachusetts
Alasmidonta heterodon,Connecticut
Alasmidonta heterodon,Delaware
Alasmidonta heterodon,Vermont
Alasmidonta heterodon,Virginia
Alasmidonta heterodon,New Jersey
Alasmidonta heterodon,North Carolina
Alasmidonta heterodon,New Hampshire
Alasmidonta marginata,Virginia
Alasmidonta marginata,Minnesota
Alasmidonta marginata,North Dakota
Alasmidonta marginata,West Virginia
Alasmidonta marginata,Oklahoma
Alasmidonta marginata,Pennsylvania
Alasmidonta marginata,Maryland
Alasmidonta marginata,New York
Alasmidonta marginata,Kansas
Alasmidonta marginata,Wisconsin
Alasmidonta marginata,Missouri
Alasmidonta marginata,Alabama
Alasmidonta marginata,Indiana
Alasmidonta marginata,Michigan
Alasmidonta marginata,Ohio
Alasmidonta marginata,South Dakota
Alasmidonta marginata,Tennessee
Alasmidonta mccordi,Alabama
Alasmidonta raveneliana,South Carolina
Alasmidonta raveneliana,North Carolina
Alasmidonta raveneliana,Tennessee
Alasmidonta robusta,North Carolina
Alasmidonta triangulata,Alabama
Alasmidonta triangulata,Florida
Alasmidonta triangulata,Georgia
Alasmidonta varicosa,North Carolina
Alasmidonta varicosa,South Carolina
Alasmidonta varicosa,Georgia
Alasmidonta varicosa,Virginia
Alces alces andersoni,Wisconsin
Alces alces andersoni,Minnesota
Alces alces andersoni,North Dakota
Alces alces andersoni,Michigan
Alectryon macrococcus,Hawaii
Aletes filifolius,New Mexico
Aletes filifolius,Texas
Aletes humilis,Colorado
Aletes humilis,Wyoming
Algamorda newcombiana,Oregon
Algamorda newcombiana,California
Algamorda newcombiana,Washington
Algamorda newcombiana,Nevada
Aliciella caespitosa,Utah
Aliciella formosa,New Mexico
Alligator mississippiensis,Florida
Alligator mississippiensis,Oklahoma
Alligator mississippiensis,North Carolina
Allionia cristata,Arizona
Allium aaseae,Idaho
Allium constrictum,Washington
Allium dictuon,Washington
Allium gooddingii,New Mexico
Allium gooddingii,Arizona
Allium hickmanii,California
Allium hoffmanii,California
Allium jepsonii,California
Allium madidum,Oregon
Allium madidum,Idaho
Allium madidum,Nevada
Allium madidum,California
Allium munzii,California
Allium oxyphilum,West Virginia
Allium oxyphilum,Virginia
Allium passeyi,Utah
Allium perdulce sperryi,Texas
Allium pleianthum,California
Allium pleianthum,Nevada
Allium pleianthum,Oregon
Allium robinsonii,Nevada
Allium robinsonii,Washington
Allium robinsonii,Oregon
Allium robinsonii,California
Allium scilloides,Washington
Allium shevockii,California
Allium speculae,Alabama
Allium speculae,Georgia
Allium tolmiei persimile,Idaho
Allium tribracteatum,California
Allium tuolumnense,California
Allium yosemitense,California
Allocapnia brooksi,Tennessee
Allocapnia cunninghami,Tennessee
Allocapnia cunninghami,Kentucky
Allocapnia fumosa,North Carolina
Allocapnia fumosa,Virginia
Allocapnia fumosa,Tennessee
Allocrangonyx hubrichti,Missouri
Allocrangonyx pellucidus,Oklahoma
Alloperla natchez,Mississippi
Alloperla roberti,Illinois
Allowissadula holosericea,Texas
Alnus maritima,Georgia
Alnus maritima,Delaware
Alnus maritima,Maryland
Alnus maritima,Oklahoma
Alopecurus aequalis var. sonomensis,California
Alosa alabamae,Georgia
Alphitonia ponderosa,Hawaii
Alsophila brooksii,Virgin Islands
Alsophila brooksii,Puerto Rico
Alsophis sancticrucis,Virgin Islands
Amaranthus brownii,Hawaii
Amaranthus pumilus,South Carolina
Amaranthus pumilus,New York
Amaranthus pumilus,North Carolina
Amaranthus pumilus,Virginia
Amaranthus pumilus,New Jersey
Amaranthus pumilus,Massachusetts
Amaranthus pumilus,Maryland
Amaranthus pumilus,Delaware
Amazona viridigenalis,Texas
Amazona vittata,Puerto Rico
Amblema neislerii,Georgia
Amblema neislerii,Florida
Amblyopsis rosae,Kansas
Amblyopsis rosae,Arkansas
Amblyopsis rosae,Missouri
Amblyopsis rosae,Oklahoma
Amblyopsis spelaea,Kentucky
Amblyopsis spelaea,Indiana
Amblyscirtes linda,Arkansas
Amblyscirtes linda,Kentucky
Amblyscirtes linda,Tennessee
Amblyscirtes linda,Oklahoma
Amblyscirtes linda,Illinois
Ambrosia cheiranthifolia,Texas
Ambrosia linearis,Colorado
Ambrosia pumila,California
Ambrysus amargosus,Nevada
Ambrysus funebris,California
Ambystoma barbouri,Tennessee
Ambystoma barbouri,Indiana
Ambystoma barbouri,Kentucky
Ambystoma barbouri,Ohio
Ambystoma barbouri,West Virginia
Ambystoma bishopi,Georgia
Ambystoma bishopi,Florida
Ambystoma californiense,California
Ambystoma californiense,California
Ambystoma californiense,California
Ambystoma cingulatum,Florida
Ambystoma cingulatum,Georgia
Ambystoma cingulatum,South Carolina
Ambystoma macrodactylum croceum,California
Ambystoma mavortium stebbinsi,Arizona
Ameiva polops,Virgin Islands
Ameiva wetmorei,Virgin Islands
Ameiva wetmorei,Puerto Rico
Amelanchier nantucketensis,New York
Amelanchier nantucketensis,Massachusetts
Ameletus falsus,Arizona
Ammocrypta pellucida,Pennsylvania
Ammocrypta pellucida,Michigan
Ammocrypta pellucida,Indiana
Ammocrypta pellucida,Ohio
Ammocrypta pellucida,Vermont
Ammocrypta pellucida,Kentucky
Ammocrypta pellucida,New York
Ammocrypta pellucida,West Virginia
Ammocrypta pellucida,Illinois
Ammodramus bairdii,New Mexico
Ammodramus bairdii,Wyoming
Ammodramus bairdii,Idaho
Ammodramus bairdii,Nebraska
Ammodramus bairdii,Texas
Ammodramus bairdii,Oklahoma
Ammodramus bairdii,Colorado
Ammodramus bairdii,Montana
Ammodramus bairdii,South Dakota
Ammodramus bairdii,Minnesota
Ammodramus bairdii,Kansas
Ammodramus bairdii,Missouri
Ammodramus bairdii,North Dakota
Ammodramus henslowii houstonensis,Texas
Ammodramus maritimus macgillivraii,Georgia
Ammodramus maritimus macgillivraii,South Carolina
Ammodramus maritimus mirabilis,Florida
Ammodramus savannarum floridanus,Florida
Ammodramus savannarum ssp. perpallidus,California
Ammonitella yatesii,California
Ammopelmatus kelsoensis,California
Ammopelmatus muwu,California
Ammospermophilus nelsoni,California
Ammospiza caudacuta,South Carolina
Amoreuxia gonzalezii,Texas
Amoreuxia wrightii,Texas
Amorpha canescens,Missouri
Amorpha crenulata,Florida
Amorpha georgiana confusa,North Carolina
Amorpha georgiana georgiana,South Carolina
Amorpha georgiana georgiana,Georgia
Amorpha georgiana georgiana,North Carolina
Amorpha ouachitensis,Arkansas
Amorpha ouachitensis,Oklahoma
Amorpha roemeriana,Texas
Amphianthus pusillus,South Carolina
Amphianthus pusillus,Alabama
Amphianthus pusillus,Georgia
Amphigyra alabamensis,Alabama
Amphinemura mockfordi,Alabama
Amphinemura mockfordi,Tennessee
Amphisbaena bakeri,Puerto Rico
Amphisbaena bakeri,Virgin Islands
Amphispiza belli belli,California
Amphispiza belli clementeae,California
Amphiuma pholeter,Georgia
Amsinckia carinata,California
Amsinckia carinata,Oregon
Amsinckia carinata,Nevada
Amsinckia grandiflora,California
Amsinckia vernicosa,California
Amsinckia vernicosa furcata,California
Amsonia fugatei,New Mexico
Amsonia glaberrima,Louisiana
Amsonia glaberrima,Texas
Amsonia grandiflora,Arizona
Amsonia kearneyana,Arizona
Amsonia ludoviciana,Georgia
Amsonia ludoviciana,Louisiana
Amsonia ludoviciana,Mississippi
Amsonia palmeri,Arizona
Amsonia peeblesii,Arizona
Amsonia repens,Texas
Amsonia tabernaemontana gattingeri,Tennessee
Amsonia tharpii,New Mexico
Amsonia tharpii,Texas
Anacroneuria wipukupa,Arizona
Anaea troglodyta floridalis,Florida
Anas bahamensis bahamensis,Puerto Rico
Anas bahamensis bahamensis,Virgin Islands
Anas diazi,New Mexico
Anas diazi,Texas
Anas diazi,Arizona
Anas oustaleti,Guam
Anas oustaleti,Northern Mariana Islands
Anas wyvilliana,Hawaii
Anaxyrus boreas boreas,Colorado
Anaxyrus boreas boreas,Wyoming
Anaxyrus californicus,California
Anaxyrus canorus,Nevada
Anaxyrus canorus,California
Anaxyrus williamsi,Nevada
Anchotefflus gracilis,Hawaii
Aneides aeneus,South Carolina
Aneides aeneus,North Carolina
Aneides aeneus,Georgia
Aneides hardii,New Mexico
Anemone edwardsiana edwardsiana,Texas
Anemone edwardsiana petraea,Texas
Anemone minima,Virginia
Anemone minima,West Virginia
Anemone oregana felix,Nevada
Anemone oregana felix,Oregon
Anemone oregana felix,Washington
Anemone oregana felix,California
Angelica callii,California
Angelica scabrida,Nevada
Angelica wheeleri,Utah
Anguispira picta,Tennessee
Anheteromyia biceps,Michigan
Anisocarpus scabridus,California
Anniella pulchra nigra,California
Anniella pulchra pulchra,California
Anoda abutiloides,Arizona
Anodonta californiensis,Nevada
Anodonta californiensis,Oregon
Anodonta californiensis,Washington
Anodonta californiensis,Arizona
Anodonta californiensis,Idaho
Anodonta californiensis,California
Anodonta californiensis,Utah
Anodonta heardi,Georgia
Anodonta heardi,Alabama
Anodontoides denigrata,Tennessee
Anodontoides denigrata,Kentucky
Anodontoides radiatus,Georgia
Anodontoides radiatus,Florida
Anodontoides radiatus,Alabama
Anolis occultus,Puerto Rico
Anolis occultus,Virgin Islands
Anolis roosevelti,Puerto Rico
Anomala tibialis,Texas
Anomis vulpicolor,Hawaii
Anser albifrons elgasi,Oregon
Anser albifrons elgasi,California
Anser albifrons elgasi,Alaska
Antecaridina lauensis,Hawaii
Antennaria arcuata,Idaho
Antennaria arcuata,Wyoming
Antennaria arcuata,Nevada
Antennaria aromatica,Wyoming
Antennaria aromatica,California
Antennaria aromatica,Nevada
Antennaria aromatica,Oregon
Antennaria aromatica,Montana
Antennaria soliceps,Nevada
Antennaria suffrutescens,Nevada
Antennaria suffrutescens,Oregon
Antennaria suffrutescens,California
Anthicus antiochensis,California
Anthicus sacramento,California
Anthocharis cethura catalina,California
Anthus spragueii,South Dakota
Anthus spragueii,North Dakota
Anthus spragueii,Texas
Anthus spragueii,Montana
Anthus spragueii,Minnesota
Anthus spragueii,Arizona
Anthus spragueii,Arkansas
Anthus spragueii,Kansas
Anthus spragueii,Oklahoma
Anthus spragueii,Mississippi
Anthus spragueii,New Mexico
Anthus spragueii,Louisiana
Antigone canadensis ssp. pratensis,Georgia
Antilocapra americana sonoriensis,Arizona
Antilocapra americana sonoriensis,Arizona
Antirhea portoricensis,Virgin Islands
Antirhea portoricensis,Puerto Rico
Antrobia culveri,Missouri
Antrolana lira,West Virginia
Antrolana lira,Virginia
Antrorbis breweri,Alabama
Apacheria chiricahuensis,Arizona
Apacheria chiricahuensis,New Mexico
Apamea smythi,Virginia
Apamea smythi,Illinois
Apatalestes rossi,California
Apatania tavala,Oregon
Aphanisma blitoides,California
Aphelocoma coerulescens,Florida
Aphelocoma coerulescens cana,California
Aphodius fordi,Georgia
Aphodius sp.,Nevada
Aphodius sp.,Nevada
Aphodius sp.,Nevada
Aphrastochthonius grubbsi,California
Aphrastochthonius similis,California
Apios priceana,Alabama
Apios priceana,Kentucky
Apios priceana,Tennessee
Apios priceana,Illinois
Apios priceana,Mississippi
Aplodontia rufa californica,California
Aplodontia rufa nigra,California
Aplodontia rufa phaea,California
Apochthonius malheuri,Nevada
Apochthonius malheuri,Oregon
Apochthonius malheuri,California
Apochthonius paucispinosus,West Virginia
Apocynum X floribundum,Arizona
Apodemia mormo langei,California
Appalachia arcana,Michigan
Apterocyclus honoluluensis,Hawaii
Aquila chrysaetos,Montana
Aquila chrysaetos,Texas
Aquilegia barnebyi,Utah
Aquilegia barnebyi,Colorado
Aquilegia caerulea daileyae,Colorado
Aquilegia chrysantha chaplinei,New Mexico
Aquilegia chrysantha chaplinei,Texas
Aquilegia chrysantha hinckleyana,Texas
Aquilegia chrysantha rydbergii,Arizona
Aquilegia chrysantha rydbergii,New Mexico
Aquilegia chrysantha rydbergii,Colorado
Aquilegia desertorum,Arizona
Aquilegia jonesii,Wyoming
Aquilegia jonesii,Montana
Aquilegia laramiensis,Wyoming
Aquilegia longissima,Texas
Aquilegia micrantha mancosana,Colorado
Aquilegia saximontana,Colorado
Arabis aculeolata,California
Arabis aculeolata,Nevada
Arabis aculeolata,Oregon
Arabis blepharophylla,California
Arabis bodiensis,California
Arabis bodiensis,Nevada
Arabis breweri austinae,California
Arabis breweri pecuniaria,California
Arabis constancei,California
Arabis crandallii,Colorado
Arabis crandallii,Wyoming
Arabis demissa languida,Wyoming
Arabis demissa languida,Utah
Arabis demissa russeola,Colorado
Arabis demissa russeola,Wyoming
Arabis demissa russeola,Utah
Arabis dispar,Nevada
Arabis dispar,California
Arabis falcatoria,Utah
Arabis falcatoria,Nevada
Arabis falcifructa,Nevada
Arabis fecunda,Montana
Arabis fructicosa,Wyoming
Arabis georgiana,Georgia
Arabis georgiana,Alabama
Arabis gracilipes,Arizona
Arabis gunnisoniana,Colorado
Arabis hoffmannii,California
Arabis johnstonii,California
Arabis koehleri koehleri,California
Arabis koehleri koehleri,Oregon
Arabis koehleri koehleri,Nevada
Arabis koehleri stipitata,Oregon
Arabis koehleri stipitata,Nevada
Arabis koehleri stipitata,California
Arabis macdonaldiana,California
Arabis macdonaldiana,Oregon
Arabis mcdonaldiana,California
Arabis mcdonaldiana,Nevada
Arabis mcdonaldiana,Oregon
Arabis missouriensis deamii,Indiana
Arabis missouriensis deamii,Michigan
Arabis missouriensis deamii,Arkansas
Arabis missouriensis deamii,Wisconsin
Arabis missouriensis deamii,Missouri
Arabis modesta,Oregon
Arabis modesta,Nevada
Arabis modesta,California
Arabis ophira,Nevada
Arabis oregana,California
Arabis oregana,Oregon
Arabis oxylobula,Colorado
Arabis parishii,California
Arabis perstellata,Tennessee
Arabis perstellata,Kentucky
Arabis petiolaris,Texas
Arabis pygmaea,California
Arabis rigidissima demota,Nevada
Arabis shockleyi,Utah
Arabis shockleyi,Nevada
Arabis shockleyi,California
Arabis sp.,Oregon
Arabis sp.,Utah
Arabis sp.,California
Arabis sp.,Nevada
Arabis suffrutescens horizontalis,California
Arabis suffrutescens horizontalis,Oregon
Arabis suffrutescens horizontalis,Nevada
Arabis tiehmii,California
Arabis tiehmii,Nevada
Arabis vivariensis,Utah
Arabis vivariensis,Colorado
Arabis williamsii,Wyoming
Arborimus albipes,Oregon
Arborimus albipes,California
Arborimus longicaudus,Oregon
Arborimus pomo,Oregon
Arborimus pomo,California
Arceuthobium apachense,Arizona
Archeolarca aalbui,California
Archeolarca cavicola,Arizona
Archeolarca guadalupensis,Texas
Archoplites interruptus,California
Arctomecon californica,Nevada
Arctomecon californica,Arizona
Arctomecon humilis,Utah
Arctomecon merriamii,California
Arctomecon merriamii,Nevada
Arctostaphylos andersonii,California
Arctostaphylos auriculata,California
Arctostaphylos bakeri bakeri,California
Arctostaphylos catalinae,California
Arctostaphylos confertiflora,California
Arctostaphylos cruzensis,California
Arctostaphylos densiflora,California
Arctostaphylos edmundsii,California
Arctostaphylos franciscana,California
Arctostaphylos gabrielensis,California
Arctostaphylos glandulosa ssp. crassifolia,California
Arctostaphylos glutinosa,California
Arctostaphylos hispidula,Nevada
Arctostaphylos hispidula,Oregon
Arctostaphylos hispidula,California
Arctostaphylos hookeri hearstiorum,California
Arctostaphylos hookeri montana,California
Arctostaphylos hookeri var. ravenii,California
Arctostaphylos imbricata,California
Arctostaphylos intricata oblongifolia,Oregon
Arctostaphylos intricata oblongifolia,Nevada
Arctostaphylos intricata oblongifolia,California
Arctostaphylos klamathensis,California
Arctostaphylos luciana,California
Arctostaphylos montaraensis,California
Arctostaphylos montereyensis,California
Arctostaphylos morroensis,California
Arctostaphylos myrtifolia,California
Arctostaphylos nissenana,California
Arctostaphylos nortensis,California
Arctostaphylos osoensis,California
Arctostaphylos otayensis,California
Arctostaphylos pacifica,California
Arctostaphylos pajaroensis,California
Arctostaphylos pallida,California
Arctostaphylos pechoensis,California
Arctostaphylos pilosula pilosula,California
Arctostaphylos pumila,California
Arctostaphylos refugioensis,California
Arctostaphylos rudis,California
Arctostaphylos silvicola,California
Arctostaphylos stanfordiana raichei,California
Arctostaphylos tomentosa daciticola,California
Arctostaphylos uva-ursi leobreweri,California
Arctostaphylos uva-ursi marinensis,California
Arctostaphylos uva-ursi monoensis,California
Arctostaphylos uva-ursi suborbiculata,California
Arctostaphylos virgata,California
Arenaria alabamensis,Alabama
Arenaria alabamensis,Georgia
Arenaria alabamensis,North Carolina
Arenaria cumberlandensis,Tennessee
Arenaria cumberlandensis,Kentucky
Arenaria franklinii thompsonii,Washington
Arenaria franklinii thompsonii,Oregon
Arenaria franklinii thompsonii,California
Arenaria franklinii thompsonii,Nevada
Arenaria kingii rosea,Nevada
Arenaria livermorensis,Texas
Arenaria macradenia kuschei,California
Arenaria paludicola,Washington
Arenaria paludicola,California
Arenaria stenomeres,Nevada
Arenaria ursina,California
Areniscythris brachypteris,California
Argemone arizonica,Arizona
Argemone glauca inermis,Hawaii
Argemone munita robusta,California
Argemone pleiacantha ssp. pinnatisecta,New Mexico
Argia sabino,Arizona
Argia sp.,Texas
Argyresthia castaneela,New Hampshire
Argyresthia castaneela,Vermont
Argyroxiphium kauense,Hawaii
Argyroxiphium sandwicense ssp. macrocephalum,Hawaii
Argyroxiphium sandwicense ssp. sandwicense,Hawaii
Argyroxiphium virescens,Hawaii
Argythamnia aphoroides,Texas
Argythamnia argyraea,Texas
Argythamnia blodgettii,Florida
Arianops sandersoni,Arkansas
Arida arizonica,California
Arida arizonica,Nevada
Aristida chaseae,Puerto Rico
Aristida portoricensis,Puerto Rico
Aristocapsa insignis,California
Arkansia wheeleri,Arkansas
Arkansia wheeleri,Oklahoma
Arnica amplexicaulis piperi,Oregon
Arnica amplexicaulis piperi,Washington
Arnica amplexicaulis piperi,California
Arnica amplexicaulis piperi,Nevada
Arnica cordifolia,Wyoming
Arnica lonchophylla,Minnesota
Arnica lonchophylla,California
Arnica venosa,California
Arnica viscosa,California
Arnica viscosa,Oregon
Arnica viscosa,Nevada
Arremonops rufivirgatus rufivirgatus,Texas
Arrhyton exiguum exiguum,Puerto Rico
Arrhyton exiguum exiguum,Virgin Islands
Arsapnia arapahoe,Colorado
Artamus leucorhynchus pelewensis,Palau
Artemia monica,California
Artemisia,Hawaii
Artemisia aleutica,Alaska
Artemisia argilosa,Colorado
Artemisia biennis diffusa,Wyoming
Artemisia campestris var. wormskioldii,Washington
Artemisia campestris var. wormskioldii,Oregon
Artemisia cana bolanderi,California
Artemisia globularia lutea,Alaska
Artemisia glomerata subglabra,Alaska
Artemisia ludoviciana estesii,California
Artemisia ludoviciana estesii,Oregon
Artemisia ludoviciana estesii,Nevada
Artemisia papposa,Nevada
Artemisia papposa,Oregon
Artemisia papposa,Idaho
Artemisia papposa,California
Artemisia porteri,Wyoming
Artemisia senjavinensis,Alaska
Artemisia unalaskensis aleutica,Alaska
Arthonia kermesina,North Carolina
Asaphomyia texanus,Texas
Ascaphus truei,Idaho
Ascaphus truei,Washington
Ascaphus truei,California
Ascaphus truei,Montana
Ascaphus truei,Oregon
Ascetocthere cosmeta,North Carolina
Ascetocthere cosmeta,Virginia
Asclepias cutleri,Utah
Asclepias cutleri,Arizona
Asclepias eastwoodiana,Nevada
Asclepias meadii,Illinois
Asclepias meadii,Wisconsin
Asclepias meadii,Missouri
Asclepias meadii,Kansas
Asclepias meadii,Indiana
Asclepias meadii,Iowa
Asclepias prostrata,Texas
Asclepias ruthiae,Utah
Asclepias sanjuanensis,New Mexico
Asclepias uncialis,Kansas
Asclepias uncialis,Colorado
Asclepias uncialis,New Mexico
Asclepias welshii,Utah
Asclepias welshii,Arizona
Ashmunella hebardi,New Mexico
Ashmunella macromphala,New Mexico
Ashmunella pasonis,Texas
Asimina tetramera,Florida
Asio flammeus ponapensis,Fed. States of Micronesia
Asio flammeus sandwichensis,Hawaii
Aspiduchus cavernicola,Puerto Rico
Aspiduchus cavernicola,Virgin Islands
Asplenium adiantum-nigrum,Colorado
Asplenium adiantum-nigrum,Utah
Asplenium adiantum-nigrum,Arizona
Asplenium dielerectum,Hawaii
Asplenium dielfalcatum,Hawaii
Asplenium diellaciniatum,Hawaii
Asplenium dielmannii,Hawaii
Asplenium dielpallidum,Hawaii
Asplenium ebenoides,Massachusetts
Asplenium ebenoides,Arkansas
Asplenium ebenoides,Delaware
Asplenium ebenoides,Tennessee
Asplenium ebenoides,Pennsylvania
Asplenium ebenoides,Connecticut
Asplenium ebenoides,Illinois
Asplenium ebenoides,Georgia
Asplenium ebenoides,Ohio
Asplenium ebenoides,North Carolina
Asplenium ebenoides,Alabama
Asplenium ebenoides,New Jersey
Asplenium ebenoides,Missouri
Asplenium ebenoides,Virginia
Asplenium ebenoides,West Virginia
Asplenium kentuckiense,Arkansas
